Date,Campaign,Channel,Age_Group,Gender,Location,Customer_Type,Impressions,Clicks,Leads,Conversions,Marketing_Spend,Revenue
2026-01-06 04:04:33.654730,Winter Sale,Facebook,45-54,Male,Mumbai,Returning,144547,5609,909,92,13386,178343.26
2026-01-06 05:49:24.832966,Summer Sale,YouTube,18-24,Other,Jaipur,New,80259,958,245,66,3901,82751.89
2026-01-06 07:34:16.011202,Winter Sale,Email,55+,Female,Bangalore,Returning,24890,1928,318,34,28245,18515.03
2026-01-06 09:19:07.189437,Product Launch,Facebook,45-54,Other,Pune,Returning,16713,1596,322,67,21267,177540.67
2026-01-06 11:03:58.367673,Winter Sale,Google Ads,55+,Other,Mumbai,Returning,103389,3074,262,22,11331,43142.53
2026-01-06 12:48:49.545909,Festival Campaign,Google Ads,45-54,Female,Delhi,New,75317,3069,820,121,13860,112278.43
2026-01-06 14:33:40.724144,Festival Campaign,YouTube,35-44,Other,Kolkata,Returning,92979,2657,846,95,14110,252996.07
2026-01-06 16:18:31.902380,Diwali Campaign,YouTube,18-24,Female,Nagpur,Returning,131061,12280,4221,1245,23543,1411786.33
2026-01-06 18:03:23.080616,Festival Campaign,Instagram,35-44,Female,Pune,New,140742,1525,463,38,45254,40607.34
2026-01-06 19:48:14.258851,Diwali Campaign,Instagram,18-24,Male,Jaipur,New,125039,7820,692,109,33393,298287.78
2026-01-06 21:33:05.437087,Festival Campaign,Instagram,25-34,Male,Pune,Returning,56492,4992,1277,187,14074,177396.56
2026-01-06 23:17:56.615323,Product Launch,YouTube,45-54,Male,Hyderabad,New,119718,3204,685,153,32702,412712.07
2026-01-07 01:02:47.793558,Monsoon Offer,YouTube,25-34,Male,Ahmedabad,New,82005,5174,1724,159,20800,398681.89
2026-01-07 02:47:38.971794,Diwali Campaign,YouTube,25-34,Other,Nagpur,Returning,35040,510,165,42,14264,53526.64
2026-01-07 04:32:30.150030,New Year Offer,Google Ads,18-24,Other,Ahmedabad,New,119009,9914,3437,627,47292,367417.42
2026-01-07 06:17:21.328265,Clearance Sale,YouTube,35-44,Male,Delhi,Returning,78702,2730,853,153,24347,108084.21
2026-01-07 08:02:12.506501,Summer Sale,Google Ads,55+,Female,Pune,Returning,31637,3131,712,92,24505,71191.5
2026-01-07 09:47:03.684736,Festival Campaign,Instagram,18-24,Female,Jaipur,New,77745,7228,1973,370,38350,1008988.92
2026-01-07 11:31:54.862972,Winter Sale,Instagram,55+,Female,Delhi,Returning,149819,11375,3872,619,19742,934745.68
2026-01-07 13:16:46.041208,Monsoon Offer,Instagram,25-34,Female,Ahmedabad,Returning,100467,5497,1297,173,4500,100569.12
2026-01-07 15:01:37.219443,Festival Campaign,Facebook,55+,Other,Pune,Returning,121855,9625,2952,345,43887,652523.05
2026-01-07 16:46:28.397679,Winter Sale,Facebook,35-44,Female,Delhi,Returning,64040,1393,465,111,33117,113217.85
2026-01-07 18:31:19.575915,Clearance Sale,Email,18-24,Female,Mumbai,Returning,117518,4456,1042,115,3814,125098.74
2026-01-07 20:16:10.754150,Clearance Sale,Email,35-44,Male,Chennai,New,93110,1156,142,16,44555,14433.67
2026-01-07 22:01:01.932386,Clearance Sale,Email,35-44,Female,Kolkata,New,106395,7240,883,182,17539,437719.77
2026-01-07 23:45:53.110622,Winter Sale,Facebook,18-24,Other,Bangalore,Returning,85764,7075,786,101,40834,50654.76
2026-01-08 01:30:44.288857,Festival Campaign,Facebook,35-44,Female,Mumbai,Returning,100367,9551,1992,360,14187,575085.75
2026-01-08 03:15:35.467093,Clearance Sale,Email,45-54,Female,Delhi,New,94338,6772,1419,286,9086,205112.88
2026-01-08 05:00:26.645329,Product Launch,Email,45-54,Other,Jaipur,Returning,39907,3028,746,104,42062,195617.4
2026-01-08 06:45:17.823564,Diwali Campaign,YouTube,45-54,Male,Hyderabad,Returning,49387,4474,941,146,14510,199287.21
2026-01-08 08:30:09.001800,Winter Sale,Email,55+,Other,Chennai,Returning,84655,7980,2734,345,17129,196953.24
2026-01-08 10:15:00.180036,Winter Sale,YouTube,35-44,Male,Bangalore,New,67407,3654,579,104,37832,171853.3
2026-01-08 11:59:51.358271,Festival Campaign,Google Ads,18-24,Female,Mumbai,Returning,145627,2895,914,272,17200,523998.14
2026-01-08 13:44:42.536507,Winter Sale,Facebook,18-24,Male,Hyderabad,New,56095,2915,312,49,29113,54837.62
2026-01-08 15:29:33.714742,Winter Sale,Email,55+,Male,Hyderabad,Returning,11042,663,160,35,43132,84482.29
2026-01-08 17:14:24.892978,Clearance Sale,Facebook,18-24,Male,Hyderabad,Returning,113748,7602,1938,426,33141,608166.94
2026-01-08 18:59:16.071214,Festival Campaign,Facebook,45-54,Female,Chennai,New,14188,1405,405,102,37132,242083.36
2026-01-08 20:44:07.249449,Clearance Sale,Facebook,35-44,Male,Pune,New,88596,8202,1770,418,46788,814071.44
2026-01-08 22:28:58.427685,Diwali Campaign,Google Ads,18-24,Male,Mumbai,Returning,13088,597,79,6,19650,16038.8
2026-01-09 00:13:49.605921,Monsoon Offer,Instagram,18-24,Female,Pune,Returning,11646,235,42,6,16408,11203.87
2026-01-09 01:58:40.784156,Diwali Campaign,Email,25-34,Other,Nagpur,Returning,25453,746,114,30,16594,28922.04
2026-01-09 03:43:31.962392,Monsoon Offer,Instagram,25-34,Other,Chennai,New,62233,1595,308,61,45230,155945.16
2026-01-09 05:28:23.140628,Clearance Sale,Instagram,25-34,Other,Hyderabad,Returning,93087,3913,872,89,11226,218725.34
2026-01-09 07:13:14.318863,Diwali Campaign,Instagram,35-44,Female,Hyderabad,New,71993,6399,1591,223,40649,653588.37
2026-01-09 08:58:05.497099,Festival Campaign,Facebook,45-54,Female,Chennai,Returning,96392,4763,1467,208,35212,152662.6
2026-01-09 10:42:56.675335,Summer Sale,YouTube,45-54,Other,Nagpur,Returning,132349,8080,2631,715,3067,1414325.7
2026-01-09 12:27:47.853570,Clearance Sale,Facebook,45-54,Male,Kolkata,Returning,76019,1985,406,81,19572,140062.97
2026-01-09 14:12:39.031806,Monsoon Offer,Facebook,35-44,Other,Jaipur,Returning,10451,568,59,12,48663,26126.16
2026-01-09 15:57:30.210042,Product Launch,Instagram,35-44,Female,Kolkata,Returning,145141,12863,3797,610,16232,1799774.27
2026-01-09 17:42:21.388277,Monsoon Offer,Facebook,25-34,Male,Pune,Returning,74274,5913,1234,115,14146,210528.22
2026-01-09 19:27:12.566513,Product Launch,Instagram,18-24,Male,Chennai,Returning,148279,2566,583,56,38906,124003.41
2026-01-09 21:12:03.744748,Winter Sale,YouTube,55+,Female,Jaipur,New,28157,2466,593,102,49002,139539.43
2026-01-09 22:56:54.922984,Diwali Campaign,Email,55+,Male,Kolkata,Returning,84726,2935,764,90,45291,112268.36
2026-01-10 00:41:46.101220,Product Launch,Instagram,18-24,Other,Pune,Returning,115716,8090,2591,266,6190,355972.22
2026-01-10 02:26:37.279455,Monsoon Offer,YouTube,25-34,Female,Delhi,Returning,114636,2656,895,123,36620,73371.93
2026-01-10 04:11:28.457691,Winter Sale,Email,18-24,Female,Ahmedabad,Returning,17913,1266,422,102,19042,123608.86
2026-01-10 05:56:19.635927,Summer Sale,Google Ads,18-24,Female,Jaipur,New,36727,485,144,13,10353,12120.76
2026-01-10 07:41:10.814162,Festival Campaign,Instagram,55+,Female,Bangalore,New,143018,9161,2932,523,32645,859587.08
2026-01-10 09:26:01.992398,Festival Campaign,Instagram,25-34,Male,Jaipur,Returning,71061,4841,452,118,26621,194943.31
2026-01-10 11:10:53.170634,Festival Campaign,Google Ads,35-44,Female,Pune,Returning,123388,3948,1220,169,30634,407809.6
2026-01-10 12:55:44.348869,Product Launch,Google Ads,55+,Female,Hyderabad,New,77957,7353,731,107,28332,187863.02
2026-01-10 14:40:35.527105,Summer Sale,Instagram,35-44,Male,Pune,New,95839,1354,381,104,47956,172401.21
2026-01-10 16:25:26.705341,Product Launch,Google Ads,25-34,Female,Mumbai,New,115649,10437,1312,292,45267,315087.21
2026-01-10 18:10:17.883576,Diwali Campaign,Facebook,18-24,Male,Hyderabad,Returning,11844,525,93,23,16930,60517.6
2026-01-10 19:55:09.061812,Product Launch,Email,45-54,Male,Pune,New,44572,3309,429,61,33641,44377.64
2026-01-10 21:40:00.240048,Summer Sale,Email,45-54,Female,Kolkata,New,29449,2021,403,120,5595,354688.79
2026-01-10 23:24:51.418283,Summer Sale,Email,25-34,Other,Ahmedabad,Returning,120137,3020,577,64,24851,108172.0
2026-01-11 01:09:42.596519,Diwali Campaign,Facebook,45-54,Female,Pune,Returning,29459,1140,105,30,4218,28949.02
2026-01-11 02:54:33.774754,Summer Sale,Google Ads,35-44,Other,Kolkata,Returning,135298,7802,2373,660,25283,914641.29
2026-01-11 04:39:24.952990,Monsoon Offer,YouTube,45-54,Male,Bangalore,New,119334,10284,3194,643,11675,346207.57
2026-01-11 06:24:16.131226,Summer Sale,Google Ads,25-34,Other,Mumbai,New,70140,6729,1969,411,24067,376602.05
2026-01-11 08:09:07.309461,Festival Campaign,Instagram,25-34,Female,Delhi,New,35362,419,129,32,26831,42827.19
2026-01-11 09:53:58.487697,Monsoon Offer,Email,35-44,Female,Mumbai,New,31319,1306,369,54,27384,101846.06
2026-01-11 11:38:49.665933,Monsoon Offer,Google Ads,45-54,Other,Hyderabad,Returning,110751,7767,2587,507,43527,417616.97
2026-01-11 13:23:40.844168,Diwali Campaign,YouTube,45-54,Female,Ahmedabad,New,148769,8553,2015,561,31564,1228538.52
2026-01-11 15:08:32.022404,New Year Offer,Instagram,18-24,Other,Mumbai,Returning,106896,10141,2406,228,14741,595237.6
2026-01-11 16:53:23.200640,New Year Offer,Facebook,55+,Male,Jaipur,New,38735,446,139,38,19665,73372.26
2026-01-11 18:38:14.378875,Summer Sale,Facebook,25-34,Other,Delhi,New,41293,2039,355,85,44589,105591.56
2026-01-11 20:23:05.557111,Monsoon Offer,YouTube,18-24,Other,Hyderabad,New,149082,10464,978,243,38234,195245.84
2026-01-11 22:07:56.735347,New Year Offer,Instagram,25-34,Other,Jaipur,Returning,102305,3026,854,80,31894,43107.01
2026-01-11 23:52:47.913582,New Year Offer,Email,18-24,Other,Hyderabad,New,99359,7484,1113,135,39943,314483.29
2026-01-12 01:37:39.091818,Summer Sale,Google Ads,55+,Male,Jaipur,Returning,50727,878,182,51,40689,105631.12
2026-01-12 03:22:30.270054,New Year Offer,Instagram,18-24,Male,Nagpur,Returning,114545,5795,839,90,46689,152163.77
2026-01-12 05:07:21.448289,Product Launch,Facebook,25-34,Male,Ahmedabad,Returning,24787,1756,532,116,42324,87578.71
2026-01-12 06:52:12.626525,Winter Sale,YouTube,45-54,Other,Kolkata,Returning,127710,4343,1471,370,31040,376498.29
2026-01-12 08:37:03.804760,Diwali Campaign,YouTube,25-34,Male,Mumbai,New,121489,2022,191,24,5936,60910.34
2026-01-12 10:21:54.982996,Winter Sale,Google Ads,35-44,Female,Bangalore,New,108782,10457,1495,349,28927,593170.41
2026-01-12 12:06:46.161232,Summer Sale,YouTube,35-44,Male,Jaipur,Returning,63448,5852,767,72,16514,209309.91
2026-01-12 13:51:37.339467,Festival Campaign,YouTube,35-44,Other,Nagpur,Returning,79513,7424,1943,368,46265,1103974.38
2026-01-12 15:36:28.517703,Diwali Campaign,Instagram,35-44,Female,Ahmedabad,New,16068,1575,308,47,47398,117583.09
2026-01-12 17:21:19.695939,Summer Sale,Email,55+,Other,Bangalore,New,120040,3195,649,144,26697,164946.1
2026-01-12 19:06:10.874174,Monsoon Offer,Google Ads,45-54,Female,Mumbai,Returning,128962,3120,381,104,28412,112089.89
2026-01-12 20:51:02.052410,Festival Campaign,Instagram,45-54,Other,Nagpur,New,22740,297,57,6,9139,6804.51
2026-01-12 22:35:53.230646,Winter Sale,Email,25-34,Other,Bangalore,New,98333,8875,1436,257,49520,762509.41
2026-01-13 00:20:44.408881,Summer Sale,Instagram,18-24,Female,Delhi,New,74745,5811,1423,246,17098,329234.39
2026-01-13 02:05:35.587117,Monsoon Offer,Instagram,25-34,Male,Chennai,Returning,148863,9972,1382,209,13258,473618.42
2026-01-13 03:50:26.765353,Diwali Campaign,YouTube,25-34,Female,Hyderabad,Returning,141557,13234,3255,604,22385,1750116.74
2026-01-13 05:35:17.943588,Diwali Campaign,Email,25-34,Female,Hyderabad,Returning,10337,638,116,31,41767,79018.7
2026-01-13 07:20:09.121824,Clearance Sale,Google Ads,25-34,Female,Pune,Returning,140996,3056,530,155,8074,309071.48
2026-01-13 09:05:00.300060,Monsoon Offer,Google Ads,45-54,Female,Delhi,Returning,66052,1711,278,22,28008,20293.1
2026-01-13 10:49:51.478295,Product Launch,Email,18-24,Female,Chennai,New,11471,251,65,15,24932,14060.18
2026-01-13 12:34:42.656531,New Year Offer,YouTube,25-34,Other,Pune,New,61194,2306,534,114,23731,197340.58
2026-01-13 14:19:33.834766,Festival Campaign,Facebook,45-54,Other,Bangalore,New,129076,5699,1766,527,41887,1517686.87
2026-01-13 16:04:25.013002,Monsoon Offer,Instagram,25-34,Male,Pune,Returning,83392,6814,989,98,16083,270600.96
2026-01-13 17:49:16.191238,Clearance Sale,YouTube,35-44,Male,Jaipur,New,71088,1934,175,45,14825,41196.61
2026-01-13 19:34:07.369473,New Year Offer,Email,25-34,Female,Delhi,Returning,109909,8274,1068,304,10050,370667.01
2026-01-13 21:18:58.547709,New Year Offer,Instagram,25-34,Male,Nagpur,Returning,15664,849,146,40,25326,78881.13
2026-01-13 23:03:49.725945,Summer Sale,Google Ads,55+,Male,Nagpur,Returning,98859,9882,1269,258,34368,436942.67
2026-01-14 00:48:40.904180,New Year Offer,Facebook,35-44,Female,Chennai,Returning,101991,8148,835,126,14149,100599.28
2026-01-14 02:33:32.082416,Product Launch,Google Ads,18-24,Other,Mumbai,Returning,129805,12617,2526,557,46745,792760.26
2026-01-14 04:18:23.260652,Diwali Campaign,Email,25-34,Other,Nagpur,Returning,146451,5976,1570,231,11412,666847.55
2026-01-14 06:03:14.438887,Clearance Sale,Instagram,18-24,Male,Delhi,New,41536,875,247,42,29736,120901.43
2026-01-14 07:48:05.617123,New Year Offer,Email,35-44,Other,Ahmedabad,Returning,146063,8110,1521,270,24039,512612.47
2026-01-14 09:32:56.795359,Summer Sale,Instagram,25-34,Other,Hyderabad,New,104754,2218,463,67,24561,139906.27
2026-01-14 11:17:47.973594,Product Launch,YouTube,55+,Male,Ahmedabad,Returning,126134,6851,1945,301,29820,317484.48
2026-01-14 13:02:39.151830,Winter Sale,Facebook,45-54,Female,Pune,New,106649,3657,640,52,23192,122453.85
2026-01-14 14:47:30.330066,Diwali Campaign,YouTube,55+,Male,Kolkata,Returning,111610,6048,1765,256,43642,161597.56
2026-01-14 16:32:21.508301,Diwali Campaign,YouTube,55+,Male,Jaipur,Returning,103513,9882,3371,619,43653,651005.69
2026-01-14 18:17:12.686537,Clearance Sale,Email,45-54,Male,Kolkata,New,38359,1381,438,51,40499,26250.17
2026-01-14 20:02:03.864772,Diwali Campaign,Facebook,45-54,Female,Delhi,Returning,127060,12630,2557,657,34379,962014.32
2026-01-14 21:46:55.043008,New Year Offer,Instagram,45-54,Female,Kolkata,Returning,124209,3805,899,178,27339,467366.23
2026-01-14 23:31:46.221244,Summer Sale,Instagram,25-34,Female,Ahmedabad,New,28043,805,220,56,43334,165550.91
2026-01-15 01:16:37.399479,Diwali Campaign,Google Ads,18-24,Female,Mumbai,New,98059,5788,1008,109,38048,236463.5
2026-01-15 03:01:28.577715,Diwali Campaign,Instagram,18-24,Male,Delhi,Returning,19070,1635,483,125,17360,295270.84
2026-01-15 04:46:19.755951,Winter Sale,Email,45-54,Other,Hyderabad,New,66955,5186,1026,298,33096,344748.44
2026-01-15 06:31:10.934186,Winter Sale,YouTube,55+,Male,Chennai,New,38571,2897,894,140,35038,252116.44
2026-01-15 08:16:02.112422,Festival Campaign,YouTube,35-44,Female,Delhi,Returning,87115,3087,459,65,43887,152193.91
2026-01-15 10:00:53.290658,Product Launch,YouTube,45-54,Other,Bangalore,New,108891,1309,108,24,6508,41836.55
2026-01-15 11:45:44.468893,New Year Offer,Facebook,55+,Male,Hyderabad,Returning,140644,3453,866,190,5118,137059.54
2026-01-15 13:30:35.647129,Diwali Campaign,Instagram,55+,Other,Delhi,New,31871,1321,266,27,48015,63508.33
2026-01-15 15:15:26.825365,Monsoon Offer,Email,25-34,Female,Bangalore,Returning,147295,14354,1380,391,17360,410124.19
2026-01-15 17:00:18.003600,Diwali Campaign,Facebook,25-34,Other,Hyderabad,Returning,24197,2244,474,87,39213,64749.24
2026-01-15 18:45:09.181836,Summer Sale,Google Ads,18-24,Other,Pune,Returning,84923,2382,298,73,34957,123745.58
2026-01-15 20:30:00.360072,Festival Campaign,Email,18-24,Female,Nagpur,New,112657,8483,2121,337,34260,231358.15
2026-01-15 22:14:51.538307,Product Launch,Email,35-44,Other,Jaipur,Returning,102438,6362,1273,175,38586,362881.6
2026-01-15 23:59:42.716543,Monsoon Offer,Email,35-44,Male,Nagpur,New,110909,1606,202,21,30907,44124.85
2026-01-16 01:44:33.894778,Festival Campaign,YouTube,35-44,Other,Ahmedabad,Returning,110842,4816,920,129,46102,147286.39
2026-01-16 03:29:25.073014,Clearance Sale,Email,35-44,Male,Chennai,Returning,89432,4806,686,204,12605,593912.56
2026-01-16 05:14:16.251250,Product Launch,Instagram,55+,Other,Nagpur,Returning,51525,3610,925,207,9363,530153.7
2026-01-16 06:59:07.429485,Diwali Campaign,Email,55+,Other,Delhi,New,26198,957,152,39,28481,30184.73
2026-01-16 08:43:58.607721,Diwali Campaign,YouTube,18-24,Female,Pune,Returning,104187,9798,2958,860,41155,2039301.07
2026-01-16 10:28:49.785957,Product Launch,Email,25-34,Female,Kolkata,Returning,108172,5480,459,44,49573,60838.22
2026-01-16 12:13:40.964192,Diwali Campaign,Google Ads,25-34,Male,Ahmedabad,New,109499,3544,669,77,25133,182930.54
2026-01-16 13:58:32.142428,New Year Offer,Google Ads,45-54,Female,Nagpur,Returning,116313,4475,1103,313,49145,783121.93
2026-01-16 15:43:23.320664,Product Launch,YouTube,55+,Female,Mumbai,Returning,32027,2487,214,43,25720,37773.14
2026-01-16 17:28:14.498899,Festival Campaign,Instagram,35-44,Female,Chennai,New,23792,1608,222,48,30967,103421.04
2026-01-16 19:13:05.677135,Product Launch,Instagram,35-44,Female,Kolkata,New,91313,7012,1180,205,15183,544649.1
2026-01-16 20:57:56.855371,Monsoon Offer,Facebook,45-54,Female,Jaipur,New,95330,3461,297,76,13414,99440.99
2026-01-16 22:42:48.033606,Diwali Campaign,YouTube,25-34,Male,Delhi,Returning,42544,1676,381,73,3111,51159.92
2026-01-17 00:27:39.211842,New Year Offer,Email,35-44,Male,Pune,New,95263,4353,1089,285,6379,161928.08
