Date,Campaign,Channel,Age_Group,Gender,Location,Customer_Type,Impressions,Clicks,Leads,Conversions,Marketing_Spend,Revenue,CTR,Lead_Rate,Conversion_Rate,CPC,CPA,ROAS,ROI,Month,Month_Number
2026-01-02 17:56:28.277655,Festival Campaign,Email,25-34,Other,Nagpur,Returning,139110,5000,1213,151,42837,304642.49,3.59,24.26,3.02,8.57,283.69,7.11,611.17,January,1
2026-01-02 19:41:19.455891,Clearance Sale,Facebook,18-24,Male,Jaipur,Returning,19096,765,103,22,26854,55170.6,4.01,13.46,2.88,35.1,1220.64,2.05,105.45,January,1
2026-01-02 21:26:10.634126,Clearance Sale,Instagram,18-24,Female,Hyderabad,Returning,83533,6732,1761,390,38153,324534.44,8.06,26.16,5.79,5.67,97.83,8.51,750.61,January,1
2026-01-02 23:11:01.812362,Winter Sale,Google Ads,55+,Male,Kolkata,Returning,124795,2552,298,56,29353,119307.54,2.04,11.68,2.19,11.5,524.16,4.06,306.46,January,1
2026-01-03 00:55:52.990598,Monsoon Offer,Instagram,55+,Female,Jaipur,Returning,35618,3070,264,79,21761,45878.46,8.62,8.6,2.57,7.09,275.46,2.11,110.83,January,1
2026-01-03 02:40:44.168833,Festival Campaign,Google Ads,45-54,Male,Mumbai,Returning,19868,673,210,34,31870,25652.09,3.39,31.2,5.05,47.36,937.35,0.8,-19.51,January,1
2026-01-03 04:25:35.347069,Product Launch,Google Ads,18-24,Female,Bangalore,New,31882,465,79,21,15292,48465.04,1.46,16.99,4.52,32.89,728.19,3.17,216.93,January,1
2026-01-03 06:10:26.525305,Summer Sale,Facebook,18-24,Other,Mumbai,Returning,116760,2400,293,34,4455,30181.98,2.06,12.21,1.42,1.86,131.03,6.77,577.49,January,1
2026-01-03 07:55:17.703540,Festival Campaign,Facebook,18-24,Female,Ahmedabad,Returning,112125,10733,1359,209,16682,336232.26,9.57,12.66,1.95,1.55,79.82,20.16,1915.54,January,1
2026-01-03 09:40:08.881776,Winter Sale,Instagram,18-24,Male,Delhi,New,135677,6867,2191,245,16182,274603.69,5.06,31.91,3.57,2.36,66.05,16.97,1596.97,January,1
2026-01-03 11:25:00.060012,Clearance Sale,Google Ads,35-44,Female,Pune,New,119982,3968,1018,216,4890,335463.93,3.31,25.66,5.44,1.23,22.64,68.6,6760.2,January,1
2026-01-03 13:09:51.238247,Product Launch,Instagram,25-34,Male,Bangalore,New,80714,4593,1553,342,44609,237023.31,5.69,33.81,7.45,9.71,130.44,5.31,431.34,January,1
2026-01-03 14:54:42.416483,Festival Campaign,Email,25-34,Male,Delhi,New,81102,5791,1714,308,38196,735273.42,7.14,29.6,5.32,6.6,124.01,19.25,1825.0,January,1
2026-01-03 16:39:33.594718,Summer Sale,Instagram,45-54,Male,Hyderabad,Returning,43375,1678,481,114,9209,79526.74,3.87,28.67,6.79,5.49,80.78,8.64,763.58,January,1
2026-01-03 18:24:24.772954,Summer Sale,YouTube,35-44,Other,Ahmedabad,New,81210,6113,1313,355,32250,921149.12,7.53,21.48,5.81,5.28,90.85,28.56,2756.28,January,1
2026-01-03 20:09:15.951190,New Year Offer,Instagram,18-24,Female,Nagpur,New,99276,3246,979,245,34635,528347.93,3.27,30.16,7.55,10.67,141.37,15.25,1425.47,January,1
2026-01-03 21:54:07.129425,New Year Offer,YouTube,18-24,Male,Ahmedabad,New,98706,1985,379,50,43816,77073.2,2.01,19.09,2.52,22.07,876.32,1.76,75.9,January,1
2026-01-03 23:38:58.307661,Diwali Campaign,YouTube,55+,Other,Kolkata,Returning,83606,4972,1507,226,10282,602564.9,5.95,30.31,4.55,2.07,45.5,58.6,5760.39,January,1
2026-01-04 01:23:49.485897,Winter Sale,YouTube,55+,Male,Ahmedabad,Returning,129837,3064,871,142,42961,137076.6,2.36,28.43,4.63,14.02,302.54,3.19,219.07,January,1
2026-01-04 03:08:40.664132,Monsoon Offer,Email,45-54,Female,Hyderabad,Returning,118343,11200,2947,367,18918,426237.68,9.46,26.31,3.28,1.69,51.55,22.53,2153.08,January,1
2026-01-04 04:53:31.842368,Festival Campaign,Instagram,18-24,Other,Nagpur,New,71401,716,121,19,13446,16013.37,1.0,16.9,2.65,18.78,707.68,1.19,19.09,January,1
2026-01-04 06:38:23.020604,Festival Campaign,Instagram,45-54,Male,Nagpur,Returning,68835,5370,1344,177,19456,257344.15,7.8,25.03,3.3,3.62,109.92,13.23,1222.7,January,1
2026-01-04 08:23:14.198839,Monsoon Offer,Email,35-44,Male,Chennai,New,66936,2352,509,152,32954,450958.61,3.51,21.64,6.46,14.01,216.8,13.68,1268.45,January,1
2026-01-04 10:08:05.377075,Diwali Campaign,Google Ads,25-34,Male,Ahmedabad,New,137446,11840,2422,611,6457,551469.32,8.61,20.46,5.16,0.55,10.57,85.41,8440.64,January,1
2026-01-04 11:52:56.555311,Clearance Sale,Facebook,18-24,Female,Mumbai,New,138344,2132,740,199,19296,512910.8,1.54,34.71,9.33,9.05,96.96,26.58,2558.12,January,1
2026-01-04 13:37:47.733546,Clearance Sale,Instagram,35-44,Other,Chennai,New,26110,2500,540,152,39853,323714.43,9.57,21.6,6.08,15.94,262.19,8.12,712.27,January,1
2026-01-04 15:22:38.911782,Diwali Campaign,Facebook,18-24,Other,Chennai,Returning,71549,1368,121,27,46037,14567.45,1.91,8.85,1.97,33.65,1705.07,0.32,-68.36,January,1
2026-01-04 17:07:30.090018,Clearance Sale,Email,55+,Other,Hyderabad,Returning,140834,11394,2838,336,43356,961707.76,8.09,24.91,2.95,3.81,129.04,22.18,2118.17,January,1
2026-01-04 18:52:21.268253,New Year Offer,Google Ads,45-54,Male,Bangalore,Returning,38530,2179,602,148,28602,433303.77,5.66,27.63,6.79,13.13,193.26,15.15,1414.94,January,1
2026-01-04 20:37:12.446489,Festival Campaign,Google Ads,55+,Other,Mumbai,Returning,10893,530,169,14,49600,39371.52,4.87,31.89,2.64,93.58,3542.86,0.79,-20.62,January,1
2026-01-04 22:22:03.624724,Diwali Campaign,Google Ads,25-34,Male,Nagpur,New,138745,4885,1225,128,32192,224556.69,3.52,25.08,2.62,6.59,251.5,6.98,597.55,January,1
2026-01-05 00:06:54.802960,Festival Campaign,Email,55+,Female,Ahmedabad,New,133967,11484,979,84,18223,88278.79,8.57,8.52,0.73,1.59,216.94,4.84,384.44,January,1
2026-01-05 01:51:45.981196,Monsoon Offer,YouTube,18-24,Other,Chennai,New,104260,2916,327,35,23880,51735.66,2.8,11.21,1.2,8.19,682.29,2.17,116.65,January,1
2026-01-05 03:36:37.159431,Summer Sale,YouTube,55+,Male,Delhi,New,36885,2763,341,83,41551,168944.75,7.49,12.34,3.0,15.04,500.61,4.07,306.6,January,1
2026-01-05 05:21:28.337667,New Year Offer,Facebook,18-24,Other,Delhi,New,54560,2734,374,102,33663,147603.28,5.01,13.68,3.73,12.31,330.03,4.38,338.47,January,1
2026-01-05 07:06:19.515903,Product Launch,YouTube,25-34,Other,Chennai,Returning,23613,2358,697,98,13228,222502.05,9.99,29.56,4.16,5.61,134.98,16.82,1582.05,January,1
2026-01-05 08:51:10.694138,New Year Offer,YouTube,55+,Female,Kolkata,Returning,147159,9569,1565,166,7749,413163.85,6.5,16.35,1.73,0.81,46.68,53.32,5231.83,January,1
2026-01-05 10:36:01.872374,Diwali Campaign,Google Ads,45-54,Other,Ahmedabad,New,28665,555,91,12,8045,12281.79,1.94,16.4,2.16,14.5,670.42,1.53,52.66,January,1
2026-01-05 12:20:53.050610,Product Launch,Google Ads,45-54,Female,Hyderabad,New,116568,5566,1580,351,36615,530836.52,4.77,28.39,6.31,6.58,104.32,14.5,1349.78,January,1
2026-01-05 14:05:44.228845,Summer Sale,Facebook,45-54,Other,Nagpur,Returning,39622,632,120,18,29071,52098.5,1.6,18.99,2.85,46.0,1615.06,1.79,79.21,January,1
2026-01-05 15:50:35.407081,Diwali Campaign,Instagram,55+,Other,Chennai,Returning,105834,3779,368,107,37163,120323.32,3.57,9.74,2.83,9.83,347.32,3.24,223.77,January,1
2026-01-05 17:35:26.585317,Winter Sale,Facebook,55+,Other,Mumbai,New,51989,2126,505,54,25958,73770.41,4.09,23.75,2.54,12.21,480.7,2.84,184.19,January,1
2026-01-05 19:20:17.763552,Festival Campaign,Facebook,55+,Other,Chennai,Returning,54741,4750,546,162,19922,95442.5,8.68,11.49,3.41,4.19,122.98,4.79,379.08,January,1
2026-01-05 21:05:08.941788,Summer Sale,Email,18-24,Other,Jaipur,Returning,30163,2576,603,49,30995,65214.84,8.54,23.41,1.9,12.03,632.55,2.1,110.4,January,1
2026-01-05 22:50:00.120024,Festival Campaign,Email,25-34,Other,Nagpur,New,81637,901,261,46,33177,65657.11,1.1,28.97,5.11,36.82,721.24,1.98,97.9,January,1
2026-01-06 00:34:51.298259,Clearance Sale,Facebook,45-54,Female,Bangalore,New,69175,4005,1325,179,33426,134176.41,5.79,33.08,4.47,8.35,186.74,4.01,301.41,January,1
2026-01-06 02:19:42.476495,Winter Sale,Facebook,18-24,Female,Nagpur,Returning,43546,1311,128,26,17113,13093.75,3.01,9.76,1.98,13.05,658.19,0.77,-23.49,January,1
2026-01-06 04:04:33.654730,Winter Sale,Facebook,45-54,Male,Mumbai,Returning,144547,5609,909,92,13386,178343.26,3.88,16.21,1.64,2.39,145.5,13.32,1232.31,January,1
2026-01-06 05:49:24.832966,Summer Sale,YouTube,18-24,Other,Jaipur,New,80259,958,245,66,3901,82751.89,1.19,25.57,6.89,4.07,59.11,21.21,2021.3,January,1
2026-01-06 07:34:16.011202,Winter Sale,Email,55+,Female,Bangalore,Returning,24890,1928,318,34,28245,18515.03,7.75,16.49,1.76,14.65,830.74,0.66,-34.45,January,1
2026-01-06 09:19:07.189437,Product Launch,Facebook,45-54,Other,Pune,Returning,16713,1596,322,67,21267,177540.67,9.55,20.18,4.2,13.33,317.42,8.35,734.82,January,1
2026-01-06 11:03:58.367673,Winter Sale,Google Ads,55+,Other,Mumbai,Returning,103389,3074,262,22,11331,43142.53,2.97,8.52,0.72,3.69,515.05,3.81,280.75,January,1
2026-01-06 12:48:49.545909,Festival Campaign,Google Ads,45-54,Female,Delhi,New,75317,3069,820,121,13860,112278.43,4.07,26.72,3.94,4.52,114.55,8.1,710.09,January,1
2026-01-06 14:33:40.724144,Festival Campaign,YouTube,35-44,Other,Kolkata,Returning,92979,2657,846,95,14110,252996.07,2.86,31.84,3.58,5.31,148.53,17.93,1693.03,January,1
2026-01-06 16:18:31.902380,Diwali Campaign,YouTube,18-24,Female,Nagpur,Returning,131061,12280,4221,1245,23543,1411786.33,9.37,34.37,10.14,1.92,18.91,59.97,5896.63,January,1
2026-01-06 18:03:23.080616,Festival Campaign,Instagram,35-44,Female,Pune,New,140742,1525,463,38,45254,40607.34,1.08,30.36,2.49,29.67,1190.89,0.9,-10.27,January,1
2026-01-06 19:48:14.258851,Diwali Campaign,Instagram,18-24,Male,Jaipur,New,125039,7820,692,109,33393,298287.78,6.25,8.85,1.39,4.27,306.36,8.93,793.26,January,1
2026-01-06 21:33:05.437087,Festival Campaign,Instagram,25-34,Male,Pune,Returning,56492,4992,1277,187,14074,177396.56,8.84,25.58,3.75,2.82,75.26,12.6,1160.46,January,1
2026-01-06 23:17:56.615323,Product Launch,YouTube,45-54,Male,Hyderabad,New,119718,3204,685,153,32702,412712.07,2.68,21.38,4.78,10.21,213.74,12.62,1162.04,January,1
2026-01-07 01:02:47.793558,Monsoon Offer,YouTube,25-34,Male,Ahmedabad,New,82005,5174,1724,159,20800,398681.89,6.31,33.32,3.07,4.02,130.82,19.17,1816.74,January,1
2026-01-07 02:47:38.971794,Diwali Campaign,YouTube,25-34,Other,Nagpur,Returning,35040,510,165,42,14264,53526.64,1.46,32.35,8.24,27.97,339.62,3.75,275.26,January,1
2026-01-07 04:32:30.150030,New Year Offer,Google Ads,18-24,Other,Ahmedabad,New,119009,9914,3437,627,47292,367417.42,8.33,34.67,6.32,4.77,75.43,7.77,676.91,January,1
2026-01-07 06:17:21.328265,Clearance Sale,YouTube,35-44,Male,Delhi,Returning,78702,2730,853,153,24347,108084.21,3.47,31.25,5.6,8.92,159.13,4.44,343.93,January,1
2026-01-07 08:02:12.506501,Summer Sale,Google Ads,55+,Female,Pune,Returning,31637,3131,712,92,24505,71191.5,9.9,22.74,2.94,7.83,266.36,2.91,190.52,January,1
2026-01-07 09:47:03.684736,Festival Campaign,Instagram,18-24,Female,Jaipur,New,77745,7228,1973,370,38350,1008988.92,9.3,27.3,5.12,5.31,103.65,26.31,2531.0,January,1
2026-01-07 11:31:54.862972,Winter Sale,Instagram,55+,Female,Delhi,Returning,149819,11375,3872,619,19742,934745.68,7.59,34.04,5.44,1.74,31.89,47.35,4634.81,January,1
2026-01-07 13:16:46.041208,Monsoon Offer,Instagram,25-34,Female,Ahmedabad,Returning,100467,5497,1297,173,4500,100569.12,5.47,23.59,3.15,0.82,26.01,22.35,2134.87,January,1
2026-01-07 15:01:37.219443,Festival Campaign,Facebook,55+,Other,Pune,Returning,121855,9625,2952,345,43887,652523.05,7.9,30.67,3.58,4.56,127.21,14.87,1386.83,January,1
2026-01-07 16:46:28.397679,Winter Sale,Facebook,35-44,Female,Delhi,Returning,64040,1393,465,111,33117,113217.85,2.18,33.38,7.97,23.77,298.35,3.42,241.87,January,1
2026-01-07 18:31:19.575915,Clearance Sale,Email,18-24,Female,Mumbai,Returning,117518,4456,1042,115,3814,125098.74,3.79,23.38,2.58,0.86,33.17,32.8,3179.99,January,1
2026-01-07 20:16:10.754150,Clearance Sale,Email,35-44,Male,Chennai,New,93110,1156,142,16,44555,14433.67,1.24,12.28,1.38,38.54,2784.69,0.32,-67.6,January,1
2026-01-07 22:01:01.932386,Clearance Sale,Email,35-44,Female,Kolkata,New,106395,7240,883,182,17539,437719.77,6.8,12.2,2.51,2.42,96.37,24.96,2395.69,January,1
2026-01-07 23:45:53.110622,Winter Sale,Facebook,18-24,Other,Bangalore,Returning,85764,7075,786,101,40834,50654.76,8.25,11.11,1.43,5.77,404.3,1.24,24.05,January,1
2026-01-08 01:30:44.288857,Festival Campaign,Facebook,35-44,Female,Mumbai,Returning,100367,9551,1992,360,14187,575085.75,9.52,20.86,3.77,1.49,39.41,40.54,3953.61,January,1
2026-01-08 03:15:35.467093,Clearance Sale,Email,45-54,Female,Delhi,New,94338,6772,1419,286,9086,205112.88,7.18,20.95,4.22,1.34,31.77,22.57,2157.46,January,1
2026-01-08 05:00:26.645329,Product Launch,Email,45-54,Other,Jaipur,Returning,39907,3028,746,104,42062,195617.4,7.59,24.64,3.43,13.89,404.44,4.65,365.07,January,1
2026-01-08 06:45:17.823564,Diwali Campaign,YouTube,45-54,Male,Hyderabad,Returning,49387,4474,941,146,14510,199287.21,9.06,21.03,3.26,3.24,99.38,13.73,1273.45,January,1
2026-01-08 08:30:09.001800,Winter Sale,Email,55+,Other,Chennai,Returning,84655,7980,2734,345,17129,196953.24,9.43,34.26,4.32,2.15,49.65,11.5,1049.82,January,1
2026-01-08 10:15:00.180036,Winter Sale,YouTube,35-44,Male,Bangalore,New,67407,3654,579,104,37832,171853.3,5.42,15.85,2.85,10.35,363.77,4.54,354.25,January,1
2026-01-08 11:59:51.358271,Festival Campaign,Google Ads,18-24,Female,Mumbai,Returning,145627,2895,914,272,17200,523998.14,1.99,31.57,9.4,5.94,63.24,30.47,2946.5,January,1
2026-01-08 13:44:42.536507,Winter Sale,Facebook,18-24,Male,Hyderabad,New,56095,2915,312,49,29113,54837.62,5.2,10.7,1.68,9.99,594.14,1.88,88.36,January,1
2026-01-08 15:29:33.714742,Winter Sale,Email,55+,Male,Hyderabad,Returning,11042,663,160,35,43132,84482.29,6.0,24.13,5.28,65.06,1232.34,1.96,95.87,January,1
2026-01-08 17:14:24.892978,Clearance Sale,Facebook,18-24,Male,Hyderabad,Returning,113748,7602,1938,426,33141,608166.94,6.68,25.49,5.6,4.36,77.8,18.35,1735.09,January,1
2026-01-08 18:59:16.071214,Festival Campaign,Facebook,45-54,Female,Chennai,New,14188,1405,405,102,37132,242083.36,9.9,28.83,7.26,26.43,364.04,6.52,551.95,January,1
2026-01-08 20:44:07.249449,Clearance Sale,Facebook,35-44,Male,Pune,New,88596,8202,1770,418,46788,814071.44,9.26,21.58,5.1,5.7,111.93,17.4,1639.92,January,1
2026-01-08 22:28:58.427685,Diwali Campaign,Google Ads,18-24,Male,Mumbai,Returning,13088,597,79,6,19650,16038.8,4.56,13.23,1.01,32.91,3275.0,0.82,-18.38,January,1
2026-01-09 00:13:49.605921,Monsoon Offer,Instagram,18-24,Female,Pune,Returning,11646,235,42,6,16408,11203.87,2.02,17.87,2.55,69.82,2734.67,0.68,-31.72,January,1
2026-01-09 01:58:40.784156,Diwali Campaign,Email,25-34,Other,Nagpur,Returning,25453,746,114,30,16594,28922.04,2.93,15.28,4.02,22.24,553.13,1.74,74.29,January,1
2026-01-09 03:43:31.962392,Monsoon Offer,Instagram,25-34,Other,Chennai,New,62233,1595,308,61,45230,155945.16,2.56,19.31,3.82,28.36,741.48,3.45,244.78,January,1
2026-01-09 05:28:23.140628,Clearance Sale,Instagram,25-34,Other,Hyderabad,Returning,93087,3913,872,89,11226,218725.34,4.2,22.28,2.27,2.87,126.13,19.48,1848.38,January,1
2026-01-09 07:13:14.318863,Diwali Campaign,Instagram,35-44,Female,Hyderabad,New,71993,6399,1591,223,40649,653588.37,8.89,24.86,3.48,6.35,182.28,16.08,1507.88,January,1
2026-01-09 08:58:05.497099,Festival Campaign,Facebook,45-54,Female,Chennai,Returning,96392,4763,1467,208,35212,152662.6,4.94,30.8,4.37,7.39,169.29,4.34,333.55,January,1
2026-01-09 10:42:56.675335,Summer Sale,YouTube,45-54,Other,Nagpur,Returning,132349,8080,2631,715,3067,1414325.7,6.11,32.56,8.85,0.38,4.29,461.14,46014.3,January,1
2026-01-09 12:27:47.853570,Clearance Sale,Facebook,45-54,Male,Kolkata,Returning,76019,1985,406,81,19572,140062.97,2.61,20.45,4.08,9.86,241.63,7.16,615.63,January,1
2026-01-09 14:12:39.031806,Monsoon Offer,Facebook,35-44,Other,Jaipur,Returning,10451,568,59,12,48663,26126.16,5.43,10.39,2.11,85.67,4055.25,0.54,-46.31,January,1
2026-01-09 15:57:30.210042,Product Launch,Instagram,35-44,Female,Kolkata,Returning,145141,12863,3797,610,16232,1799774.27,8.86,29.52,4.74,1.26,26.61,110.88,10987.82,January,1
2026-01-09 17:42:21.388277,Monsoon Offer,Facebook,25-34,Male,Pune,Returning,74274,5913,1234,115,14146,210528.22,7.96,20.87,1.94,2.39,123.01,14.88,1388.25,January,1
2026-01-09 19:27:12.566513,Product Launch,Instagram,18-24,Male,Chennai,Returning,148279,2566,583,56,38906,124003.41,1.73,22.72,2.18,15.16,694.75,3.19,218.73,January,1
2026-01-09 21:12:03.744748,Winter Sale,YouTube,55+,Female,Jaipur,New,28157,2466,593,102,49002,139539.43,8.76,24.05,4.14,19.87,480.41,2.85,184.76,January,1
2026-01-09 22:56:54.922984,Diwali Campaign,Email,55+,Male,Kolkata,Returning,84726,2935,764,90,45291,112268.36,3.46,26.03,3.07,15.43,503.23,2.48,147.88,January,1
2026-01-10 00:41:46.101220,Product Launch,Instagram,18-24,Other,Pune,Returning,115716,8090,2591,266,6190,355972.22,6.99,32.03,3.29,0.77,23.27,57.51,5650.76,January,1
2026-01-10 02:26:37.279455,Monsoon Offer,YouTube,25-34,Female,Delhi,Returning,114636,2656,895,123,36620,73371.93,2.32,33.7,4.63,13.79,297.72,2.0,100.36,January,1
2026-01-10 04:11:28.457691,Winter Sale,Email,18-24,Female,Ahmedabad,Returning,17913,1266,422,102,19042,123608.86,7.07,33.33,8.06,15.04,186.69,6.49,549.14,January,1
2026-01-10 05:56:19.635927,Summer Sale,Google Ads,18-24,Female,Jaipur,New,36727,485,144,13,10353,12120.76,1.32,29.69,2.68,21.35,796.38,1.17,17.07,January,1
2026-01-10 07:41:10.814162,Festival Campaign,Instagram,55+,Female,Bangalore,New,143018,9161,2932,523,32645,859587.08,6.41,32.01,5.71,3.56,62.42,26.33,2533.14,January,1
2026-01-10 09:26:01.992398,Festival Campaign,Instagram,25-34,Male,Jaipur,Returning,71061,4841,452,118,26621,194943.31,6.81,9.34,2.44,5.5,225.6,7.32,632.29,January,1
2026-01-10 11:10:53.170634,Festival Campaign,Google Ads,35-44,Female,Pune,Returning,123388,3948,1220,169,30634,407809.6,3.2,30.9,4.28,7.76,181.27,13.31,1231.23,January,1
2026-01-10 12:55:44.348869,Product Launch,Google Ads,55+,Female,Hyderabad,New,77957,7353,731,107,28332,187863.02,9.43,9.94,1.46,3.85,264.79,6.63,563.08,January,1
2026-01-10 14:40:35.527105,Summer Sale,Instagram,35-44,Male,Pune,New,95839,1354,381,104,47956,172401.21,1.41,28.14,7.68,35.42,461.12,3.59,259.5,January,1
2026-01-10 16:25:26.705341,Product Launch,Google Ads,25-34,Female,Mumbai,New,115649,10437,1312,292,45267,315087.21,9.02,12.57,2.8,4.34,155.02,6.96,596.06,January,1
2026-01-10 18:10:17.883576,Diwali Campaign,Facebook,18-24,Male,Hyderabad,Returning,11844,525,93,23,16930,60517.6,4.43,17.71,4.38,32.25,736.09,3.57,257.46,January,1
2026-01-10 19:55:09.061812,Product Launch,Email,45-54,Male,Pune,New,44572,3309,429,61,33641,44377.64,7.42,12.96,1.84,10.17,551.49,1.32,31.92,January,1
2026-01-10 21:40:00.240048,Summer Sale,Email,45-54,Female,Kolkata,New,29449,2021,403,120,5595,354688.79,6.86,19.94,5.94,2.77,46.62,63.39,6239.39,January,1
2026-01-10 23:24:51.418283,Summer Sale,Email,25-34,Other,Ahmedabad,Returning,120137,3020,577,64,24851,108172.0,2.51,19.11,2.12,8.23,388.3,4.35,335.28,January,1
2026-01-11 01:09:42.596519,Diwali Campaign,Facebook,45-54,Female,Pune,Returning,29459,1140,105,30,4218,28949.02,3.87,9.21,2.63,3.7,140.6,6.86,586.32,January,1
2026-01-11 02:54:33.774754,Summer Sale,Google Ads,35-44,Other,Kolkata,Returning,135298,7802,2373,660,25283,914641.29,5.77,30.42,8.46,3.24,38.31,36.18,3517.61,January,1
2026-01-11 04:39:24.952990,Monsoon Offer,YouTube,45-54,Male,Bangalore,New,119334,10284,3194,643,11675,346207.57,8.62,31.06,6.25,1.14,18.16,29.65,2865.38,January,1
2026-01-11 06:24:16.131226,Summer Sale,Google Ads,25-34,Other,Mumbai,New,70140,6729,1969,411,24067,376602.05,9.59,29.26,6.11,3.58,58.56,15.65,1464.81,January,1
2026-01-11 08:09:07.309461,Festival Campaign,Instagram,25-34,Female,Delhi,New,35362,419,129,32,26831,42827.19,1.18,30.79,7.64,64.04,838.47,1.6,59.62,January,1
2026-01-11 09:53:58.487697,Monsoon Offer,Email,35-44,Female,Mumbai,New,31319,1306,369,54,27384,101846.06,4.17,28.25,4.13,20.97,507.11,3.72,271.92,January,1
